distance,path_loss,env,path_loss.1,env
13.12440475,84.82283255,0,92.69267649,1
13.90143877,85.3474154,0,93.57447529,1
14.70544117,85.86019985,0,94.43644152,1
15.53222457,86.35906751,0,95.2750143,1
16.37833935,86.8428278,0,96.08819231,1
17.24093965,87.31094019,0,96.87506695,1
18.11767093,87.76331034,0,97.63547964,1
19.00657781,88.20014311,0,98.36977472,1
19.90602924,88.62183802,0,99.07862378,1
20.8146583,89.02891563,0,99.76290185,1
21.73131381,89.42196628,0,100.4236013,1
22.65502152,89.80161469,0,101.0617722,1
23.58495283,90.16849588,0,101.678482,1
24.52039967,90.52323907,0,102.2747884,1
25.46075411,90.86645714,0,102.8517216,1
26.40549185,91.19874012,0,103.4102735,1
27.35415873,91.52065124,0,103.9513908,1
28.30635971,91.83272507,0,104.475972,1
29.26174978,92.13546676,0,104.9848664,1
30.22002647,92.42935228,0,105.4788739,1
31.18092366,92.71482912,0,105.9587469,1
32.14420632,92.99231747,0,106.4251916,1
33.10966626,93.26221149,0,106.8788706,1
34.07711842,93.52488076,0,107.3204051,1
35.04639782,93.78067174,0,107.7503776,1
36.01735693,94.02990926,0,108.169334,1
36.98986348,94.27289792,0,108.5777864,1
37.96379855,94.50992349,0,108.9762151,1
38.93905494,94.74125417,0,109.3650709,1
39.91553582,94.96714186,0,109.7447774,1
40.89315346,95.18782328,0,110.1157323,1
41.87182824,95.40352103,0,110.47831,1
42.85148772,95.61444462,0,110.8328625,1
43.83206589,95.82079137,0,111.1797216,1
44.81350243,96.02274727,0,111.5191998,1
45.79574216,96.22048776,0,111.8515922,1
46.77873448,96.41417847,0,112.177177,1
47.76243294,96.60397589,0,112.4962174,1
48.74679477,96.79002799,0,112.8089622,1
49.73178058,96.97247481,0,113.1156466,1
50.71735403,97.15144897,0,113.4164936,1
51.70348151,97.32707617,0,113.7117146,1
52.6901319,97.49947563,0,114.0015099,1
53.67727638,97.66876053,0,114.2860697,1
54.66488818,97.83503837,0,114.5655748,1
55.65294242,97.99841137,0,114.8401971,1
56.64141594,98.15897676,0,115.1100998,1
57.63028718,98.31682708,0,115.3754387,1
58.61953599,98.47205053,0,115.636362,1
59.60914359,98.62473116,0,115.8930108,1
60.5990924,98.77494914,0,116.1455201,1
61.58936597,98.92278103,0,116.3940185,1
62.57994887,99.06829991,0,116.6386288,1
63.57082664,99.21157566,0,116.8794685,1
64.56198572,99.35267509,0,117.1166499,1
65.55341334,99.49166214,0,117.3502805,1
66.54509749,99.62859801,0,117.5804632,1
67.53702688,99.76354133,0,117.8072965,1
68.52919086,99.89654831,0,118.0308749,1
69.52157938,100.0276729,0,118.251289,1
70.51418297,100.1569667,0,118.4686257,1
71.50699267,100.2844794,0,118.6829686,1
72.5,100.4102588,0,118.8943977,1
73.49319696,100.5343506,0,119.1029901,1
74.48657597,100.6567989,0,119.3088199,1
75.48012984,100.777646,0,119.5119582,1
76.47385174,100.8969329,0,119.7124737,1
77.46773522,101.0146987,0,119.9104324,1
78.46177413,101.1309812,0,120.1058978,1
79.45596265,101.245817,0,120.2989313,1
80.45029521,101.3592411,0,120.4895918,1
81.44476656,101.4712875,0,120.6779364,1
82.43937166,101.5819888,0,120.86402,1
83.43410574,101.6913766,0,121.0478957,1
84.42896422,101.7994813,0,121.2296147,1
85.42394278,101.9063325,0,121.4092264,1
86.41903725,102.0119585,0,121.5867787,1
87.41424369,102.1163869,0,121.7623179,1
88.40955831,102.2196443,0,121.9358886,1
89.40497749,102.3217563,0,122.107534,1
90.40049779,102.4227479,0,122.2772961,1
91.39611589,102.5226432,0,122.4452153,1
92.39182864,102.6214654,0,122.6113308,1
93.38763301,102.7192374,0,122.7756808,1
94.3835261,102.8159808,0,122.9383019,1
95.37950514,102.911717,0,123.0992299,1
96.37556744,103.0064665,0,123.2584993,1
97.37171047,103.1002494,0,123.4161439,1
98.36793177,103.193085,0,123.572196,1
99.36422898,103.284992,0,123.7266874,1
100.3605998,103.3759888,0,123.8796487,1
101.3570422,103.4660931,0,124.0311097,1
102.3535539,103.5553221,0,124.1810994,1
103.350133,103.6436925,0,124.3296458,1
104.3467776,103.7312205,0,124.4767762,1
105.3434858,103.817922,0,124.6225173,1
106.3402558,103.9038123,0,124.7668949,1
107.3370859,103.9889064,0,124.909934,1
108.3339744,104.0732188,0,125.0516591,1
